title,slug,city,province,country,latitude,longitude,population,tourism_note,nearby_cities
Leidschendam,leidschendam,Leidschendam,South Holland,Netherlands,52.0900,4.3970,75000,"A town near The Hague popular for celebrations and private party bookings.","The Hague,Voorburg,Zoetermeer,Delft"
Voorburg,voorburg,Voorburg,South Holland,Netherlands,52.0720,4.3600,40000,"A lively suburb of The Hague with frequent private gatherings.","Leidschendam,The Hague,Rijswijk,Delft"
Rijswijk,rijswijk,Rijswijk,South Holland,Netherlands,52.0363,4.3250,56000,"A busy suburb between The Hague and Delft with nightlife and celebrations.","The Hague,Delft,Voorburg,Zoetermeer"
Gouda,gouda,Gouda,South Holland,Netherlands,52.0115,4.7100,74000,"Famous for cheese markets but also lively nightlife and private events.","Rotterdam,Zoetermeer,Woerden,Alphen aan den Rijn"
Alphen aan den Rijn,alphen-aan-den-rijn,Alphen aan den Rijn,South Holland,Netherlands,52.1292,4.6555,113000,"A central town in South Holland popular for private parties and events.","Leiden,Gouda,Zoetermeer,Bodegraven"
Apeldoorn,apeldoorn,Apeldoorn,Gelderland,Netherlands,52.2112,5.9699,165000,"A large city in Gelderland with a strong nightlife scene and celebrations.","Arnhem,Deventer,Zutphen,Ede"
Ede,ede,Ede,Gelderland,Netherlands,52.0438,5.6640,118000,"A growing town with many celebrations and private bookings.","Wageningen,Arnhem,Barneveld,Veenendaal"
Wageningen,wageningen,Wageningen,Gelderland,Netherlands,51.9692,5.6654,39000,"A university town known for lively student parties.","Ede,Arnhem,Rhenen,Veenendaal"
Veenendaal,veenendaal,Veenendaal,Utrecht,Netherlands,52.0286,5.5580,65000,"A busy town on the Utrecht-Gelderland border with active nightlife.","Ede,Rhenen,Amersfoort,Wageningen"
Enschede,enschede,Enschede,Overijssel,Netherlands,52.2215,6.8937,159000,"A vibrant university city with energetic nightlife and frequent student parties.","Hengelo,Almelo,Oldenzaal,Gronau"
Hengelo,hengelo,Hengelo,Overijssel,Netherlands,52.2650,6.7931,81000,"A lively city in Twente known for nightlife and celebrations.","Enschede,Almelo,Borne,Oldenzaal"
Almelo,almelo,Almelo,Overijssel,Netherlands,52.3560,6.6620,73000,"A vibrant city with nightlife and group events.","Hengelo,Enschede,Wierden,Rijssen"
Zwolle,zwolle,Zwolle,Overijssel,Netherlands,52.5168,6.0830,130000,"A growing city with lively nightlife and many group celebrations.","Kampen,Deventer,Meppel,Hattem"
Deventer,deventer,Deventer,Overijssel,Netherlands,52.2550,6.1639,100000,"A historic city with vibrant nightlife and student population.","Apeldoorn,Zutphen,Zwolle,Olst"
Meppel,meppel,Meppel,Drenthe,Netherlands,52.6950,6.1940,35000,"A small city with lively nightlife and local celebrations.","Zwolle,Hoogeveen,Steenwijk,Staphorst"
Hoogeveen,hoogeveen,Hoogeveen,Drenthe,Netherlands,52.7240,6.4760,56000,"A growing city with active nightlife and celebrations.","Emmen,Meppel,Coevorden,Beilen"
Emmen,emmen,Emmen,Drenthe,Netherlands,52.7850,6.8970,108000,"A lively city in Drenthe popular for parties and nightlife.","Hoogeveen,Coevorden,Assen,Klazienaveen"
Assen,assen,Assen,Drenthe,Netherlands,52.9928,6.5642,68000,"A vibrant provincial capital with nightlife and celebrations.","Groningen,Emmen,Hoogeveen,Beilen"
